method_id,seed,source_corpus,bytes_per_token,characters_per_token,mean_tokens_per_sentence,mean_tokens_per_document,actual_vocab_size,merge_count,rare_word_mean_split_length,long_tail_single_token_coverage,tokenizer_training_seconds,tokenizer_artifact_bytes,source
plain_bpe,20260726,ag_news_test,4.140433660179901,4.140433660179901,29.782701585113713,56.829605263157895,16000,13828,2.3199513381995134,0.11995133819951338,7.198659799993038,975628,results/final/defenses/main/baseline_utility/plain_bpe/20260726/utility.json
plain_bpe,20260726,c4_heldout,4.267013900006077,4.246724005477869,21.506836456158986,512.0150191420438,16000,13828,2.8602203675232447,0.00909656636649828,7.198659799993038,975628,results/final/defenses/main/baseline_utility/plain_bpe/20260726/utility.json
plain_bpe,20260727,ag_news_test,4.182294858062313,4.182294858062313,29.485320468642314,56.26078947368421,16000,14714,2.294566098945661,0.1254663422546634,5.78019280009903,1017873,results/final/defenses/main/baseline_utility/plain_bpe/20260727/utility.json
plain_bpe,20260727,c4_heldout,4.312663097059539,4.279601454046455,22.517409935965325,569.984410489366,16000,14714,3.1844615066795208,0.009674975898636551,5.78019280009903,1017873,results/final/defenses/main/baseline_utility/plain_bpe/20260727/utility.json
plain_bpe,20260728,ag_news_test,4.140203598276568,4.140203598276568,29.784906960716746,56.83276315789474,16000,14021,2.3064071370640713,0.12554744525547445,6.335209000040777,985231,results/final/defenses/main/baseline_utility/plain_bpe/20260728/utility.json
plain_bpe,20260728,c4_heldout,4.278031257039862,4.25530623784048,21.492350379064003,502.27012903913834,16000,14021,2.9351913975374906,0.009900810560864599,6.335209000040777,985231,results/final/defenses/main/baseline_utility/plain_bpe/20260728/utility.json
min_count_2,20260726,ag_news_test,4.140433660179901,4.140433660179901,29.782701585113713,56.829605263157895,15509,13828,2.3199513381995134,0.11995133819951338,29.608767799916677,965876,results/final/defenses/main/baseline_utility/min_count_2/20260726/utility.json
min_count_2,20260726,c4_heldout,4.267013900006077,4.246724005477869,21.506836456158986,512.0150191420438,15509,13828,2.8602203675232447,0.009023354564755838,29.608767799916677,965876,results/final/defenses/main/baseline_utility/min_count_2/20260726/utility.json
min_count_2,20260727,ag_news_test,4.182294858062313,4.182294858062313,29.485320468642314,56.26078947368421,15564,14713,2.294566098945661,0.1254663422546634,21.636596300057136,1009150,results/final/defenses/main/baseline_utility/min_count_2/20260727/utility.json
min_count_2,20260727,c4_heldout,4.312661534746963,4.279599903710846,22.517418082870318,569.9846169729507,15564,14713,3.1844615066795208,0.009554469081393747,21.636596300057136,1009150,results/final/defenses/main/baseline_utility/min_count_2/20260727/utility.json
min_count_2,20260728,ag_news_test,4.140203598276568,4.140203598276568,29.784906960716746,56.83276315789474,15560,14021,2.3064071370640713,0.12554744525547445,20.951915899990126,976491,results/final/defenses/main/baseline_utility/min_count_2/20260728/utility.json
min_count_2,20260728,c4_heldout,4.278031257039862,4.25530623784048,21.492350379064003,502.27012903913834,15560,14021,2.9351913975374906,0.009864543855513446,20.951915899990126,976491,results/final/defenses/main/baseline_utility/min_count_2/20260728/utility.json
min_count_5,20260726,ag_news_test,4.140433660179901,4.140433660179901,29.782701585113713,56.829605263157895,15019,13828,2.3199513381995134,0.11995133819951338,29.442882400006056,956151,results/final/defenses/main/baseline_utility/min_count_5/20260726/utility.json
min_count_5,20260726,c4_heldout,4.267013900006077,4.246724005477869,21.506836456158986,512.0150191420438,15019,13828,2.8602203675232447,0.008968445713449008,29.442882400006056,956151,results/final/defenses/main/baseline_utility/min_count_5/20260726/utility.json
min_count_5,20260727,ag_news_test,4.182294858062313,4.182294858062313,29.485320468642314,56.26078947368421,15220,14712,2.294566098945661,0.1254663422546634,21.478589500067756,1002286,results/final/defenses/main/baseline_utility/min_count_5/20260727/utility.json
min_count_5,20260727,c4_heldout,4.312655285507978,4.279593702379639,22.51745067049028,569.9854429072889,15220,14712,3.1844615066795208,0.009399531744938714,21.478589500067756,1002286,results/final/defenses/main/baseline_utility/min_count_5/20260727/utility.json
min_count_5,20260728,ag_news_test,4.140203598276568,4.140203598276568,29.784906960716746,56.83276315789474,15110,14021,2.3064071370640713,0.12554744525547445,20.953287100070156,967558,results/final/defenses/main/baseline_utility/min_count_5/20260728/utility.json
min_count_5,20260728,c4_heldout,4.278031257039862,4.25530623784048,21.492350379064003,502.27012903913834,15110,14021,2.9351913975374906,0.00970134368143326,20.953287100070156,967558,results/final/defenses/main/baseline_utility/min_count_5/20260728/utility.json
min_count_10,20260726,ag_news_test,4.140433660179901,4.140433660179901,29.782701585113713,56.829605263157895,14693,13828,2.3199513381995134,0.11995133819951338,29.43142589996569,949682,results/final/defenses/main/baseline_utility/min_count_10/20260726/utility.json
min_count_10,20260726,c4_heldout,4.267013900006077,4.246724005477869,21.506836456158986,512.0150191420438,14693,13828,2.8602203675232447,0.008876930961270957,29.43142589996569,949682,results/final/defenses/main/baseline_utility/min_count_10/20260726/utility.json
min_count_10,20260727,ag_news_test,4.182294858062313,4.182294858062313,29.485320468642314,56.26078947368421,15067,14711,2.294566098945661,0.1254663422546634,21.47432820009999,999218,results/final/defenses/main/baseline_utility/min_count_10/20260727/utility.json
min_count_10,20260727,c4_heldout,4.312630288733145,4.279568897234532,22.517581020970134,569.9887466446418,15067,14711,3.1844787219391266,0.009227379148877566,21.47432820009999,999218,results/final/defenses/main/baseline_utility/min_count_10/20260727/utility.json
min_count_10,20260728,ag_news_test,4.140203598276568,4.140203598276568,29.784906960716746,56.83276315789474,14817,14020,2.3064071370640713,0.12554744525547445,21.0391857001232,961684,results/final/defenses/main/baseline_utility/min_count_10/20260728/utility.json
